"",".12P",".4A",".29A","16M","13P.dil","21A","Porpoise.7P.dil","13M.dil","10A.dil","10P","12A.dil","16P","7P","28A","6A","27A","6M","8M.dil","12M.dil","1A.dil","26A.dil","11P.dil","15P","12M","8P","12A","7M.dil","18A","11M","25A.dil","5M","8A","10M","15P.dil","12P","14A.dil","11A.dil","8M","30A","7M","2A","15M","6P","9P","2A.dil","15A","16A","19A","22A","3P","16M.dil","4A","29A","5A","9M","9A","7A","10A","20A","13M","17A","HC8.G","HC9.C","HC1.F.3","HC1.E.2","HC9.F","AI8.B","HC9.E","AI2.E.3","HC0.D.3","HC4.E","HC1.E.1","AI2.Z","HC0.F.2","AI2.X","AI1.C","HC0.E.3","HC6.F","HC8.D","AI8.Y","HC8.B","HC8.C","AI8.C","AI2.B.2","HC1.B.3","HC5.B","AI8.X","HC9.G","HC8.E","AI1.G","HC8.A","HC1.C.2","HC1.A.1","HC5.A","HC9.X","HC0.C.2","AI2.Y","HC1.C.3","HC5.C","HC4.B","AI2.A.3","AI2.A.1","HC0.A.3","HC1.B.2","HC1.A.2","HC0.C.1","AI2.C.2","HC9.A","HC0.B.1","HC1.F.2","HC1.A.3","AI2.C.3","HC0.B.2","HC1.F.1","AI8.Z","AI1.B","HC0.A.2","AI1.F","AI2.F.3","HC9.D","AI2.G","AI2.B.3","HC0.C.3","HC9.Z","AI2.F.1","HC9.B","HC1.B.1","HC4.C","AI2.D.2","AI8.F","AI8.A","HC0.A.1","HC0.B.3","AI2.D.1","HC9.Y","HC1.C.1","AI2.F.2","HC6.A","HC5.F","AI8.E","AI1.A","AI8.D","AI8.G","AI2.B.1","AI1.D","HC4.D","HC1.D.1","HC0.D.2","AI1.E","HC0.D.1","HC5.E","AI2.E.1","HC1.D.2","HC0.E.2","HC4.A","HC6.D","AI2.D.3","HC1.D.3","HC8.F","HC4.F","HC1.E.3","HC0.F.3","HC6.C","HC0.F.1"
"03dbd5adbeb870067ad69c3f574660a7845c2031 - S. caurinus (copper)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18bfb5c771ec3be3faa2fe86d8556b5e15c2a7f7 - S. caurinus (copper)",0,0,0,0,0,0,0,0,0,0,0,0,0,1516,0,0,0,0,0,0,0,0,0,0,18951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7826,0,0,0,0,0,0,0
"2075d492ca3fa942f1c5d1ca1dfa5031f11c845c - S. caurinus (copper)",17231,0,0,0,0,0,0,0,0,186498,0,0,0,0,22369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62018,0,0,0,0,0,0,0,0,0,0,20221,0,0,2110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17021,0,0,0,0,0,0,0,0,0,0,0,0,0
"2a57f1a270bb00187d6a7f9dd8a208b9655b7dae - S. maliger (quillback)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21234,0,0,0,0,14272,0,0,0,0,0,0
"3266d51cc388db38b27fa37b52073a9fb54c354e - S. maliger (quillback)",0,0,0,0,0,0,0,0,0,71122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66502,0,0,0,0,0,48071,0,0,0,110317,0,0,12919,15086,0,14074,131904,0,0,0,0,625,0,119965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23351,0,0,0,0,0,0,17961,0,0,0,0,0
"3362204beef98ab1143802b37c5538d5518393e5 - S. caurinus (copper)",0,0,0,0,0,35932,0,0,0,33596,0,0,0,25861,0,0,0,0,0,0,0,0,0,0,2161,1730,0,0,1471,0,0,0,80801,0,63280,0,0,0,0,0,0,0,0,85262,0,0,0,0,69982,0,0,13605,0,0,346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27509,0,0,0,0
"336cd3c6d1b63133bc64bbb267da5dca5892e227 - S. maliger (quillback)",0,0,0,0,0,41748,0,0,0,0,0,178150,0,0,0,0,0,0,0,0,0,0,0,0,127165,0,0,0,0,0,0,0,63324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18260,18430,0,0,0,0,0,0,0,18680,0,0,0,2797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"442b3c16b0637957b0d7b76304bc103ec517b01e - S. caurinus (copper)",0,67210,0,0,0,20467,0,0,0,32060,0,0,0,10128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21106,0,0,0,0,0,0,0,0,0,0,0,193744,0,0,0,0,7583,0,0,0,0,0,0,0,54004,0,284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50e0a57b48571ecfd5ec6239216dabbf2f623734 - S. maliger (quillback)",0,0,0,549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5e561bf05a96eb9d411980e22196f80b0ac7081e - S. diploproa (splitnose)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6c2caf46335b4c5073fa4a89a665dddcc64b238f - S. caurinus (copper)",75033,0,0,0,0,84715,0,0,0,0,0,0,34633,5676,0,26877,0,26067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60374,0,0,0,0,0,0,129446,63909,0,0,9422,85702,0,0,0,0,0,0,0,0,27686,144439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6c65c4ec79608acabe2d5605f31b3c2f93669c1d - S. melanops (black)",0,178642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"78c78d120f0a2f22cc08f3c76fb4e4591e8a99a9 - S. melanops (black)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8f5a42363451ff05a60e5f29bfa0b47eb00d2da9 - S. ruberrimus (yelloweye)",0,0,34459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"92064685ea74cce4ca4801f6dbb937787a61fb5d - S. diploproa (splitnose)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9c97c2674e5b5813283a6f7efe8663cbb7205251 - S. maliger (quillback)",0,0,0,0,0,0,0,0,0,0,0,0,0,8613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10542,13446,0,0,0,0,0,0,0,0,0,0,1106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
