Sample_ID,Library,samp_name,Sample_Name,Description,WaterSample,Basin,year,,extraction_date,extraction_tech,sample_num,Replication,Site,Location,Treatment,Replicate,Waypoint,Time of collection,Volume filtered (L),Basin,Taq,primer
MDL-ocnms-2022-1,Misfits,2022-1,MDL-ocnms-2022-1,MDL-ocnms-2022-1,MDL-ocnms-2022-1,OC,2022,,1/22/24,SE/MB,1,n,Destruction Island,South,Kelp,1,DI DNA KELP S,14:15,2,OC,,MDL
MDL-ocnms-2022-2,Misfits,2022-2,MDL-ocnms-2022-2,MDL-ocnms-2022-2,MDL-ocnms-2022-2,OC,2022,,1/22/24,SE/MB,2,n,Destruction Island,South,Kelp,2,DI DNA KELP S,14:25,1,OC,,MDL
MDL-ocnms-2022-3,Misfits,2022-3,MDL-ocnms-2022-3,MDL-ocnms-2022-3,MDL-ocnms-2022-3,OC,2022,,1/22/24,SE/MB,3,n,Destruction Island,South,Kelp,3,DI DNA KELP S,14:28,1,OC,,MDL
MDL-ocnms-2022-4,Misfits,2022-4,MDL-ocnms-2022-4,MDL-ocnms-2022-4,MDL-ocnms-2022-4,OC,2022,,1/22/24,SE/MB,4,n,Destruction Island,South,No kelp,1,DESTRU S5,14:35,1,OC,,MDL
MDL-ocnms-2022-5,Misfits,2022-5,MDL-ocnms-2022-5,MDL-ocnms-2022-5,MDL-ocnms-2022-5,OC,2022,,1/22/24,SE/MB,5,n,Destruction Island,South,No kelp,2,DESTRU S5,14:37,1,OC,,MDL
MDL-ocnms-2022-6,Misfits,2022-6,MDL-ocnms-2022-6,MDL-ocnms-2022-6,MDL-ocnms-2022-6,OC,2022,,1/22/24,SE/MB,6,n,Destruction Island,South,No kelp,3,DESTRU S5,14:46,1,OC,,MDL
MDL-ocnms-2022-7,Misfits,2022-7,MDL-ocnms-2022-7,MDL-ocnms-2022-7,MDL-ocnms-2022-7,OC,2022,,1/22/24,SE/MB,7,n,Destruction Island,North,No kelp,1,DI DNA KELP N,15:10,1,OC,,MDL
MDL-ocnms-2022-8,Misfits,2022-8,MDL-ocnms-2022-8,MDL-ocnms-2022-8,MDL-ocnms-2022-8,OC,2022,,1/22/24,SE/MB,8,n,Destruction Island,North,No kelp,2,DI DNA KELP N,15:15,1,OC,,MDL
MDL-ocnms-2022-9,Misfits,2022-9,MDL-ocnms-2022-9,MDL-ocnms-2022-9,MDL-ocnms-2022-9,OC,2022,,1/22/24,SE/MB,9,n,Destruction Island,North,No kelp,3,DI DNA KELP N,15:20,1,OC,,MDL
MDL-ocnms-2022-10,Misfits,2022-10,MDL-ocnms-2022-10,MDL-ocnms-2022-10,MDL-ocnms-2022-10,OC,2022,,1/22/24,SE/MB,10,n,Destruction Island,North,Kelp,1,DESTRU N5,15:25,1,OC,,MDL
