Sample name (final) ,Library,Sample_name,samp_name,extraction_date,extraction_tech,year,Replication,Instrument,Site,Basin,WaterSample,Date,Channel number,Bottle ID,Collection time,Filter ID ,Filtration start time,filtration start time formatted,Volume filtered (L),Depth_m,Depth_category,Distance_from_bottom_ft,Distance_from_bottom_m,Latitude,Longitude,Preservation time,preservation time formatted,Preservation location,Qubit,ddPCR,Notes,Time before preservation,,extraction_tech,extraction_date,pcr2_band,primer,readswithprimers
241023-AI1-A,Rockfish3,AI1-A,,,,,,SmithRoot,AI-1,AI,AI1-A,2024 10 23,9999,5A,9999,34R,1247,12:47,2,0,Surface,82,25,47.96463167,122.67213,1840,18:40,103,11,,,5:53,,WH,,band,MDL,46720
241023-AI1-B,Rockfish3,AI1-B,,,,,,SmithRoot,AI-1,AI,AI1-B,2024 10 23,9999,5A,9999,93R,1250,12:50,1.9,0,Surface,82,25,47.96463167,122.67213,1822,18:22,86,9,,,5:32,,WH,,band,MDL,273904
241023-AI1-C,Rockfish3,AI1-C,,,,,,SmithRoot,AI-1,AI,AI1-C,2024 10 23,9999,5A,9999,3R,1253,12:53,1.95,0,Surface,82,25,47.96463167,122.67213,1821,18:21,90,11.7,,,5:28,,WH,,faint band,MDL,21837
241023-AI1-D,Rockfish3,AI1-D,,,,,,Ascension,AI-1,AI,AI1-D,2024 10 23,1,9999,9999,232A,1245,12:45,2.03,20,Near bottom,16.4,5,47.96463167,122.67213,1818,18:18,41,10.6,,"No CTD data, sample depth measured by MWO and fishfinder",5:33,,YL,,faint band,MDL,4508
241023-AI1-E,Rockfish3,AI1-E,,,,,,Ascension,AI-1,AI,AI1-E,2024 10 23,4,9999,9999,226A,1307,13:07,2.03,20,Near bottom,16.4,5,47.96463167,122.67213,1832,18:32,49,8.28,,"No CTD data, sample depth measured by MWO and fishfinder",5:25,,YL,,no band,MDL,6333
241023-AI1-F,Rockfish3,AI1-F,,,,,,Ascension,AI-1,AI,AI1-F,2024 10 23,3,9999,9999,228A,1300,13:00,2.05,20,Near bottom,16.4,5,47.96463167,122.67213,1827,18:27,45,11.8,,"No CTD data, sample depth measured by MWO and fishfinder; sample dropped in rope bin",5:27,,YL,,faint band,MDL,185479
241023-AI1-G,Rockfish3,AI1-G,,,,,,Ascension,AI-1,AI,AI1-G,2024 10 23,2,9999,9999,227A,1253,12:53,2.01,20,Near bottom,16.4,5,47.96463167,122.67213,1320,13:20,34,11.6,,"No CTD data, sample depth measured by MWO and fishfinder",0:27,,YL,,faint band,MDL,254529
241023-AI2-A,Rockfish3,AI2-A-1,,,,,,SmithRoot,AI-2,AI,AI2-A,2024 10 23,9999,18A,9999,11R,1144,11:44,2,0,Surface,295.2,90,47.949925,122.5894983,1823,18:23,84,6.6,0,Harbor porpoise sighting,6:39,,WH,,no band,MDL,6930
241023-AI2-A,Rockfish3,AI2-A-2,,,,,,SmithRoot,AI-2,AI,AI2-A,2024 10 23,9999,18A,9999,11R,1144,11:44,2,0,Surface,295.2,90,47.949925,122.5894983,1823,18:23,84,6.6,0,Harbor porpoise sighting,6:39,,WH,,no band,MDL,123
241023-AI2-A,Rockfish3,AI2-A-3,,,,,,SmithRoot,AI-2,AI,AI2-A,2024 10 23,9999,18A,9999,11R,1144,11:44,2,0,Surface,295.2,90,47.949925,122.5894983,1823,18:23,84,6.6,0,Harbor porpoise sighting,6:39,,WH,,no band,MDL,28111
